start,0,0
6,1031,160
2,669,150
/,1100,305
6,2000,152
6,150,0
=,1000,197
8,1583,292
7,567,98
+,1034,346
4,949,305
6,634,199
=,500,167
7,1448,337
9,551,197
+,868,199
4,1100,297
3,550,222
=,633,88
6,884,202
0,750,278
*,783,362
6,783,94
8,566,136
=,748,289
9,1170,262
6,631,98
/,619,149
9,449,78
8,400,105
=,700,296
7,1716,333
2,818,219
*,867,219
8,949,189
3,568,223
=,415,73
2,1217,119
0,751,146
*,1331,371
6,1135,100
9,568,89
=,680,299
2,1252,122
8,684,197
*,1133,213
2,767,229
9,933,230
=,1133,307
